config_name,n_samples,d_dim,dgp_num,n,W,p_shapiro,A2,reject_shapiro,reject_ad,reject_both
s1_1.0,400,20,2,100,0.9854785604370572,0.3436532016677327,0.4318843639447323,False,False,False
s1_2.0,400,20,2,100,0.9871981993057155,0.45108965281635127,0.27998395023107037,False,False,False
0_基准,400,20,3,100,0.9917627829807576,0.8037862247395653,0.27783789682406734,False,False,False
inter_0.25,400,20,3,100,0.9910715970138033,0.750631372727901,0.3155533399312276,False,False,False
inter_0.5,400,20,3,100,0.9910870769639488,0.7518514271401295,0.3149027850049606,False,False,False
inter_1.0,400,20,3,100,0.9911130321313685,0.753894657319631,0.31014464372103134,False,False,False
hete_0.15,400,20,3,100,0.9910033136898475,0.7452372246223008,0.3142554002779434,False,False,False
hete_0.3,400,20,3,100,0.9904145902080531,0.6981068356540654,0.3446010862369775,False,False,False
hete_0.5,400,20,3,100,0.9898059632053603,0.6489171138522472,0.36547073167818667,False,False,False
noise_0.5,400,20,3,100,0.9907941526940172,0.7286028142413578,0.31495465568426084,False,False,False
noise_1.0,400,20,3,100,0.990082222020813,0.6712423096963769,0.36469508301661335,False,False,False
noise_2.0,400,20,3,100,0.9897491167574782,0.6443319574509331,0.376238935915822,False,False,False
rho_0.3,400,20,3,100,0.9899002695369754,0.656531958557218,0.3723829316291898,False,False,False
rho_0.5,400,20,3,100,0.9897710853182108,0.6461034084267667,0.38678549554802544,False,False,False
rho_0.7,400,20,3,100,0.9902359550745177,0.6836755711398442,0.35340734788185557,False,False,False
s1_0.5,400,20,3,100,0.9906570189264153,0.7176217075862702,0.3461296132806382,False,False,False
s1_1.0,400,20,3,100,0.9890038729845931,0.5848740729154442,0.4056921583102877,False,False,False
s1_2.0,400,20,3,100,0.9894385628090404,0.6193803836183464,0.3948298652169342,False,False,False
0_基准,400,30,2,100,0.974391250806594,0.048355376627808054,0.7001775801742411,True,False,False
inter_0.25,400,30,2,100,0.9806765112042791,0.15003305590229754,0.5053768289403422,False,False,False
inter_0.5,400,30,2,100,0.9891979293271563,0.60020482473629,0.3151433877334995,False,False,False
inter_1.0,400,30,2,100,0.9852291565931937,0.32986356387546756,0.3720167082055781,False,False,False
hete_0.15,400,30,2,100,0.9803810059337426,0.1423187922582816,0.5435089173388974,False,False,False
hete_0.3,400,30,2,100,0.9842514330623733,0.28012349193395203,0.4152585714444115,False,False,False
hete_0.5,400,30,2,100,0.985906466502233,0.3683745492771434,0.4169528195153731,False,False,False
noise_0.5,400,30,2,100,0.9660172706459214,0.011050378806988666,0.8377533746639756,True,True,True
noise_1.0,400,30,2,100,0.9699856177463534,0.022048707366481308,0.7423843898256024,True,False,False
noise_2.0,400,30,2,100,0.9802989257397418,0.14024459527151456,0.4334208621122997,False,False,False
rho_0.3,400,30,2,100,0.9827046716091642,0.21467411011286203,0.5192847155194471,False,False,False
rho_0.5,400,30,2,100,0.9855918009318432,0.3500645733921305,0.3260541684199012,False,False,False
rho_0.7,400,30,2,100,0.9716599157940053,0.029658916022460832,0.6857938944979054,True,False,False
s1_0.5,400,30,2,100,0.9791214841679592,0.11352515547353864,0.37429701372130353,False,False,False
s1_1.0,400,30,2,100,0.9782834281881121,0.09760906057015127,0.5672857968297933,False,False,False
s1_2.0,400,30,2,100,0.9908244334018746,0.731020303187876,0.25417810352034564,False,False,False
0_基准,400,30,3,100,0.9874889680487152,0.4713241749766616,0.30866160723157066,False,False,False
inter_0.25,400,30,3,100,0.9877541498001468,0.4902604261899013,0.29613223250117926,False,False,False
inter_0.5,400,30,3,100,0.9866287355832463,0.41314700439357666,0.32185192592417877,False,False,False
inter_1.0,400,30,3,100,0.9860350014290651,0.37606319189763043,0.33704205209269844,False,False,False
hete_0.15,400,30,3,100,0.9862959618644401,0.3920459943474881,0.32285077784094085,False,False,False
hete_0.3,400,30,3,100,0.9862407660159311,0.38862390244717115,0.32661421745083885,False,False,False
hete_0.5,400,30,3,100,0.9862021682566426,0.3862441065901612,0.32966498060923755,False,False,False
noise_0.5,400,30,3,100,0.9869091565241657,0.4315462843274966,0.30181878365407044,False,False,False
noise_1.0,400,30,3,100,0.9869095758365286,0.43157421409247976,0.30184728586843335,False,False,False
noise_2.0,400,30,3,100,0.9861620562990061,0.38378250274787945,0.34619046294071154,False,False,False
rho_0.3,400,30,3,100,0.9857095660933073,0.3568319603746643,0.37295602664481464,False,False,False
